old,new
TRBASIC137,TRBASIC-137-GIM
TRBASIC138,TRBASIC-138-P5Z
TRBASIC139,TRBASIC-139-RFT
TRBASIC140,TRBASIC-140-S2M
TRBASIC141,TRBASIC-141-TVE
TRBASIC142,TRBASIC-142-PP1
TRBASIC143,TRBASIC-143-QDV
TRBASIC144,TRBASIC-144-HX9
TRBASIC145,TRBASIC-145-8QV
TRBASIC146,TRBASIC-146-FV1
TRBASIC147,TRBASIC-147-SAO
TRBASIC148,TRBASIC-148-RL0
TRBASIC149,TRBASIC-149-I0X
TRBASIC150,TRBASIC-150-VD8
TRBASIC151,TRBASIC-151-GFJ
TRBASIC152,TRBASIC-152-E0W
TRBASIC153,TRBASIC-153-4JU
TRBASIC154,TRBASIC-154-MXT
TRBASIC155,TRBASIC-155-SX2
TRBASIC156,TRBASIC-156-ICB
TRBASIC157,TRBASIC-157-YPY
TRBASIC158,TRBASIC-158-O22
TRBASIC159,TRBASIC-159-9WW
TRBASIC160,TRBASIC-160-Z21
TRBASIC161,TRBASIC-161-UN9
TRBASIC162,TRBASIC-162-1RH
TRBASIC163,TRBASIC-163-8D0
TRBASIC164,TRBASIC-164-J5C
LT0N6,TRBASIC-165-GHO
ME4B2,TRBASIC-166-711
NL5VX,TRBASIC-167-3N1
OE6HS,TRBASIC-168-55F
PF4HJ,TRBASIC-169-B3U
QBP8Z,TRBASIC-170-NYK
QOR69,TRBASIC-171-PCK
S6MMO,TRBASIC-172-PVY
SMYOI,TRBASIC-173-Z9K
STA1A,TRBASIC-174-M9J
T7ZY1,TRBASIC-175-UQK
TRBASIC165,TRBASIC-176-UC2
TRBASIC166,TRBASIC-177-RH0
TRBASIC167,TRBASIC-178-KNC
TRBASIC168,TRBASIC-179-CLE
TRBASIC169,TRBASIC-180-0EP
TRBASIC170,TRBASIC-181-L2U
TRBASIC171,TRBASIC-182-XBN
TRBASIC172,TRBASIC-183-9ZR
TRBASIC173,TRBASIC-184-KK9
TRBASIC174,TRBASIC-185-TM3
TRBASIC175,TRBASIC-186-FCQ
TRBASIC176,TRBASIC-187-9V0
TRBASIC177,TRBASIC-188-K85
TRBASIC178,TRBASIC-189-K1X
TRBASIC179,TRBASIC-190-MKE
TRBASIC180,TRBASIC-191-12X
TRBASIC181,TRBASIC-192-LYT
TRBASIC182,TRBASIC-193-2SD
TRBASIC183,TRBASIC-194-S8J
TRBASIC184,TRBASIC-195-K6P
TRBASIC185,TRBASIC-196-T32
V9UMT,TRBASIC-197-FA9
VMEDL,TRBASIC-198-XME
WC54C,TRBASIC-199-3FC
XN4KY,TRBASIC-200-0J4
